STATUS,ROLE,ITEM VERIFICADO,FLUXO ESPERADO (CSV),IMPLEMENTADO NO CÓDIGO,STATUS DIVERGÊNCIA,OBSERVAÇÃO
NEW,company / teacher+admin+sudo,Separação de role no modo NEW,O CSV define mensagens diferentes para company vs teacher+admin+sudo no status NEW,O código usa mode=new sem distinção de role — retorna a mesma mensagem para todos os roles,⚠️ DIVERGÊNCIA,"No CSV a linha 2 é para company e a linha 3 é para teacher/admin/sudo com a mesma mensagem. O código não diferencia roles em mode=new. Na prática o comportamento é o mesmo, mas não existe verificação explícita de role."
NEW,teacher / admin / sudo,Status salvo ao criar,Deve salvar como DRAFT_BY_TEACHER,Linha 684-686: se role for teacher/admin/sudo → salva como DRAFT_BY_TEACHER,✅ OK,Correto
NEW,company,Status salvo ao criar,Deve salvar como DRAFT,Linha 686: caso contrário (company) → salva como DRAFT,✅ OK,Correto
DRAFT_BY_TEACHER,company,Mensagem exibida,O TCE encontra-se em edição. Preencha os dados e clique em Atualizar Estágio. Depois clique em Enviar para o professor avaliar.,"Código linhas 65-68: mensagem equivalente, porém dividida em parágrafos separados",✅ OK,Texto equivalente ao CSV
DRAFT_BY_TEACHER,company,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
DRAFT_BY_TEACHER,company,Botões ativos,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","canSave=true, canSubmitForApproval=true, canPDF=true",✅ OK,Correto
DRAFT_BY_TEACHER,teacher+admin+sudo,Mensagem exibida,Professor o TCE está em modo de edição. Copie o link da barra de endereços e envie-o à empresa para preenchimento.,"Código linhas 57-59: mensagem equivalente, dividida em 2 parágrafos",✅ OK,Texto equivalente ao CSV
DRAFT_BY_TEACHER,teacher+admin+sudo,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
DRAFT_BY_TEACHER,teacher+admin+sudo,Botões ativos,"Atualizar Estágio, Gerar PDF","canSave=true, canPDF=true — SEM canSubmitForApproval",✅ OK,Correto
DRAFT,company,Mensagem exibida,"O TCE encontra-se em edição. Preencha os dados, clique em Atualizar Estágio. Depois clique em Enviar para o professor avaliar.","Código linhas 87-90: mensagem equivalente, mas há um bug de HTML — </p> deveria ser </p> na linha 88",⚠️ BUG MENOR,"Linha 88 do código: <p ...>Preencha...<p> — tag de fechamento incorreta (<p> em vez de </p>). Não afeta funcionalidade mas é HTML inválido."
DRAFT,company,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
DRAFT,company,Botões ativos,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","canSave=true, canSubmitForApproval=true, canPDF=true",✅ OK,Correto
DRAFT,teacher+admin+sudo,Mensagem exibida,"Professor este TCE sendo editado pela empresa e posterior envio para avaliação. Caso esteja fora do prazo, verifique a situação. Se necessário altere o status para Iniciado ou Finalizado.","Código linhas 78-81: mensagem equivalente ao CSV",✅ OK,Correto
DRAFT,teacher+admin+sudo,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
DRAFT,teacher+admin+sudo,Botões ativos,"Atualizar Estágio, Alterar status para Iniciado, Alterar status para Finalizado, Gerar PDF","canSave=true, canStart=true, canFinish=true, canPDF=true",✅ OK,Correto
WAITING_APPROVAL,company,Mensagem exibida,O TCE foi enviado para aprovação do professor. Aguarde a avaliação.,"Código linhas 104-107: mensagem equivalente",✅ OK,Correto
WAITING_APPROVAL,company,Formulário editável,FALSE,readonly não é setado como false (permanece true por padrão),✅ OK,Correto
WAITING_APPROVAL,company,Botões ativos,Nenhum,canPDF=false (não setado) — nenhum botão visível,✅ OK,Correto — nenhum botão exibido
WAITING_APPROVAL,teacher+admin+sudo,Mensagem exibida,"Professor o TCE aguarda sua aprovação. Revise as informações e clique em Aprovar ou Devolver.","Código linhas 100-102: mensagem equivalente",✅ OK,Correto
WAITING_APPROVAL,teacher+admin+sudo,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
WAITING_APPROVAL,teacher+admin+sudo,Botões ativos,"Atualizar Estágio, Aprovar Estágio, Devolver, Gerar PDF","canSave=true, canApprove=true, canReject=true, canPDF=true",✅ OK,Correto
REVISION_REQUESTED,company,Mensagem exibida,"O TCE foi devolvido para correção. Realize os ajustes e clique em Atualizar Estágio e envie para o professor avaliar.","Código linhas 126-128: mensagem equivalente",✅ OK,Correto
REVISION_REQUESTED,company,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
REVISION_REQUESTED,company,Botões ativos,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","canSave=true, canSubmitForApproval=true, canPDF=true",✅ OK,Correto
REVISION_REQUESTED,teacher+admin+sudo,Mensagem exibida,"Foi solicitada revisão deste TCE. Aguarde o reenvio. Caso esteja fora do prazo verifique. Se necessário altere o status para Iniciado ou Finalizado.","Código linhas 117-120: mensagem equivalente",✅ OK,Correto
REVISION_REQUESTED,teacher+admin+sudo,Formulário editável,TRUE,config.readonly = false,✅ OK,Correto
REVISION_REQUESTED,teacher+admin+sudo,Botões ativos,"Atualizar Estágio, Alterar status para Iniciado, Alterar status para Finalizado, Gerar PDF","canSave=true, canStart=true, canFinish=true, canPDF=true",✅ OK,Correto
APPROVED,company,Mensagem exibida,O TCE foi aprovado. Agora é possível gerar o documento oficial do estágio.,"Código linhas 141-144: mensagem equivalente",✅ OK,Correto
APPROVED,company,Formulário editável,FALSE,config não seta readonly=false → permanece true (readonly),✅ OK,Correto
